"","FDT_STA_ID","Year","Sample n","SPG codes","SPG codes First","IR2022 Sample n","IR2024 Sample n","IR2026 Sample n","IR2028 Sample n","IR24Temp","IR24pH","IR24DO","IR24SpC","IR26Temp","IR26pH","IR26DO","IR26SpC","IR28Temp","IR28pH","IR28DO","IR28SpC","flag"
"15","2-CRG001.20",2022,6,"TR","TR",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"16","2-CRG016.90",2022,9,"AW","AW",NA,9,9,9,100,100,100,55.5555555555556,100,100,100,100,100,100,100,100,"FLAG"
"17","2-CRG074.47",2021,24,"AW","AW",NA,24,24,24,100,100,91.6666666666667,50,100,100,100,100,100,100,100,100,"FLAG"
"18","2-CVC000.88",2022,8,"AW","AW",NA,8,8,8,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"19","2-CWP002.58",2021,12,"TR","TR",NA,18,18,18,88.8888888888889,88.8888888888889,88.8888888888889,44.4444444444444,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,"FLAG"
"20","2-CWP002.58",2022,6,"TR","TR",NA,18,18,18,88.8888888888889,88.8888888888889,88.8888888888889,44.4444444444444,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,"FLAG"
"21","2-DCK003.94",2021,6,"FP","FP",NA,6,6,6,66.6666666666667,66.6666666666667,66.6666666666667,33.3333333333333,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,"FLAG"
"22","2-DNP001.98",2021,12,"TR","TR",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"23","2-DNP001.98",2022,6,"TR","TR",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"24","2-DVD000.23",2021,26,"AW","AW",NA,26,26,26,92.3076923076923,92.3076923076923,92.3076923076923,46.1538461538462,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,"FLAG"
"25","2-HAM000.37",2022,4,"FP","FP",NA,4,4,4,50,50,50,25,50,50,50,50,50,50,50,50,"FLAG"
"26","2-HUO005.87",2021,4,"RB","RB",NA,4,4,4,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"27","2-IVA000.05",2021,4,"RB","RB",NA,6,6,6,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"28","2-IVA000.05",2022,2,"FP","FP",NA,6,6,6,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"29","2-IVA005.75",2021,16,"TM | RB","TM",NA,26,26,26,92.3076923076923,92.3076923076923,92.3076923076923,46.1538461538462,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,"FLAG"
"30","2-IVA005.75",2022,10,"TM | RB","TM",NA,26,26,26,92.3076923076923,92.3076923076923,92.3076923076923,46.1538461538462,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,"FLAG"
